state_name,state_code,date,day_num,total_cases,confirmed_cases,probable_cases,new_cases,pnew_cases,total_deaths,confirmed_deaths,probable_deaths,new_deaths,pnew_deaths,consent_cases,consent_deaths,created_at
Alaska,AK,12/14/2020,0,40160,0.0,0.0,422,0.0,175,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
Alabama,AL,12/14/2020,0,297895,244762.0,53133.0,2264,332.0,4102,3624.0,478.0,0,0.0,Agree,Agree,12/15/2020 14:39
Arkansas,AR,12/14/2020,0,187057,0.0,0.0,1355,122.0,2990,0.0,0.0,45,22.0,Not agree,Not agree,12/15/2020 14:39
American Samoa,AS,12/14/2020,0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
Arizona,AZ,12/14/2020,0,420248,404294.0,15954.0,11806,503.0,7358,6782.0,576.0,1,-2.0,Agree,Agree,12/15/2020 14:39
California,CA,12/14/2020,0,1585044,0.0,0.0,33278,0.0,21046,0.0,0.0,77,0.0,Not agree,Not agree,12/15/2020 14:39
Colorado,CO,12/14/2020,0,291104,279278.0,11826.0,2911,23.0,3969,3398.0,571.0,11,1.0,Agree,Agree,12/15/2020 14:39
Connecticut,CT,12/14/2020,0,153992,144793.0,9199.0,7231,229.0,5444,4397.0,1047.0,81,16.0,Agree,Agree,12/15/2020 14:39
District of Columbia,DC,12/14/2020,0,25038,0.0,0.0,164,0.0,716,0.0,0.0,1,0.0,0,0,12/15/2020 14:39
Delaware,DE,12/14/2020,0,46457,44708.0,1749.0,997,8.0,816,719.0,97.0,0,0.0,Agree,Agree,12/15/2020 14:39
Florida,FL,12/14/2020,0,1115446,0.0,0.0,8343,2546.0,20003,0.0,0.0,137,3.0,Not agree,Not agree,12/15/2020 14:39
Micronesia,FM,12/14/2020,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
Georgia,GA,12/14/2020,0,546558,479340.0,67218.0,3720,424.0,10104,9218.0,886.0,28,15.0,Agree,Agree,12/15/2020 14:39
Guam,GU,12/14/2020,0,7149,0.0,0.0,12,2.0,119,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 14:39
Hawaii,HI,12/14/2020,0,19125,0.0,0.0,187,0.0,272,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 14:39
Iowa,IA,12/14/2020,0,257332,0.0,0.0,973,310.0,3273,0.0,0.0,60,60.0,Not agree,Not agree,12/15/2020 14:39
Idaho,ID,12/14/2020,0,122217,102340.0,19877.0,1038,175.0,1194,1075.0,119.0,19,2.0,Agree,Agree,12/15/2020 14:39
Illinois,IL,12/14/2020,0,856118,856118.0,0.0,7214,0.0,15455,14394.0,1061.0,116,13.0,Agree,Agree,12/15/2020 14:39
Indiana,IN,12/14/2020,0,430401,0.0,0.0,4967,0.0,6840,6530.0,310.0,35,0.0,Not agree,Agree,12/15/2020 14:39
Kansas,KS,12/14/2020,0,190018,162147.0,27871.0,4724,663.0,2109,0.0,0.0,37,4.0,Agree,0,12/15/2020 14:39
Kentucky,KY,12/14/2020,0,224890,184072.0,40818.0,1786,277.0,2224,2098.0,126.0,17,0.0,Agree,Agree,12/15/2020 14:39
Louisiana,LA,12/14/2020,0,269643,0.0,0.0,1030,39.0,6845,6535.0,310.0,27,3.0,Not agree,Agree,12/15/2020 14:39
Massachusetts,MA,12/14/2020,0,293042,283146.0,9896.0,3572,0.0,11343,11135.0,208.0,37,0.0,Agree,Agree,12/15/2020 14:39
Maryland,MD,12/14/2020,0,239362,0.0,0.0,2401,0.0,5206,5039.0,167.0,64,3.0,0,Agree,12/15/2020 14:39
Maine,ME,12/14/2020,0,16744,14673.0,2071.0,410,61.0,265,261.0,4.0,6,0.0,Agree,Agree,12/15/2020 14:39
Michigan,MI,12/14/2020,0,472780,437985.0,34795.0,7621,416.0,11289,10752.0,537.0,94,4.0,Agree,Agree,12/15/2020 14:39
Minnesota,MN,12/14/2020,0,381841,0.0,0.0,3018,210.0,4521,4350.0,171.0,18,2.0,0,Agree,12/15/2020 14:39
Missouri,MO,12/14/2020,0,379739,0.0,0.0,3674,781.0,4514,0.0,0.0,0,0.0,Not agree,Not agree,12/15/2020 9:39
Northern Mariana Islands,MP,12/14/2020,0,113,113.0,0.0,0,0.0,2,2.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
Mississippi,MS,12/14/2020,0,183300,135105.0,48195.0,2205,1369.0,4252,3555.0,697.0,48,19.0,Agree,Agree,12/15/2020 14:39
Montana,MT,12/14/2020,0,73303,73303.0,0.0,0,0.0,818,818.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
North Carolina,NC,12/14/2020,0,441365,410470.0,30895.0,4770,474.0,5855,5615.0,240.0,32,5.0,Agree,Agree,12/15/2020 14:39
North Dakota,ND,12/14/2020,0,88393,86230.0,2163.0,326,84.0,1170,0.0,0.0,13,0.0,Agree,Not agree,12/15/2020 14:39
Nebraska,NE,12/14/2020,0,149344,0.0,0.0,483,0.0,1418,0.0,0.0,45,0.0,Not agree,Not agree,12/15/2020 14:39
New Hampshire,NH,12/14/2020,0,31875,0.0,0.0,919,307.0,604,0.0,0.0,1,1.0,Not agree,Not agree,12/15/2020 14:39
New Jersey,NJ,12/14/2020,0,445605,0.0,0.0,5536,738.0,17775,15907.0,1868.0,24,0.0,Not agree,Agree,12/14/2020 0:00
New Mexico,NM,12/14/2020,0,121299,0.0,0.0,1499,0.0,1978,0.0,0.0,21,1.0,0,Not agree,12/15/2020 14:39
Nevada,NV,12/14/2020,0,189412,0.0,0.0,2579,0.0,2548,0.0,0.0,9,0.0,0,0,12/15/2020 14:39
New York,NY,12/14/2020,0,426123,0.0,0.0,6015,0.0,10901,0.0,0.0,67,0.0,Not agree,Not agree,12/15/2020 14:39
New York City,NY,12/14/2020,0,368187,332236.0,35951.0,3820,425.0,24561,19798.0,4763.0,35,31.0,Agree,Agree,12/15/2020 14:39
Ohio,OH,12/14/2020,0,570602,522467.0,48135.0,7875,1399.0,7551,6972.0,579.0,59,10.0,Agree,Agree,12/15/2020 14:39
Oklahoma,OK,12/14/2020,0,263088,220286.0,42802.0,1876,589.0,3588,3282.0,306.0,32,8.0,Agree,Agree,12/15/2020 0:00
Oregon,OR,12/14/2020,0,95010,93290.0,1720.0,1157,0.0,1161,1146.0,15.0,6,0.0,Agree,Agree,12/15/2020 14:39
Pennsylvania,PA,12/14/2020,0,499764,458149.0,41615.0,7962,190.0,12620,0.0,0.0,55,42.0,Agree,Not agree,12/15/2020 14:39
Puerto Rico,PR,12/14/2020,0,63419,60668.0,2751.0,434,114.0,1294,1048.0,246.0,12,0.0,Agree,Agree,12/15/2020 14:39
Palau,PW,12/14/2020,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
Rhode Island,RI,12/14/2020,0,75346,0.0,0.0,1132,0.0,1668,0.0,0.0,15,0.0,Not agree,0,12/15/2020 14:39
Marshall Islands,MH,12/14/2020,0,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
South Carolina,SC,12/14/2020,0,261031,239947.0,21084.0,2499,220.0,4918,0.0,0.0,27,2.0,Agree,Not agree,4/14/2021 13:28
South Dakota,SD,12/14/2020,0,91354,0.0,0.0,316,44.0,1259,1030.0,229.0,0,0.0,0,Agree,12/15/2020 14:39
Tennessee,TN,12/14/2020,0,464624,421528.0,43096.0,10319,1359.0,5541,4964.0,577.0,79,17.0,Agree,Agree,12/15/2020 14:39
Texas,TX,12/14/2020,0,1482141,0.0,0.0,9430,547.0,27104,0.0,0.0,221,0.0,Not agree,Not agree,12/15/2020 0:00
Utah,UT,12/14/2020,0,235872,235872.0,0.0,1968,0.0,1062,1044.0,18.0,7,0.0,Agree,Agree,12/15/2020 14:39
Virginia,VA,12/14/2020,0,288309,249040.0,39269.0,3160,686.0,4470,4058.0,412.0,56,7.0,Agree,Agree,12/15/2020 14:39
Virgin Islands,VI,12/14/2020,0,1828,0.0,0.0,21,0.0,23,0.0,0.0,0,0.0,0,0,12/15/2020 14:39
Vermont,VT,12/14/2020,0,5857,0.0,0.0,104,1.0,96,0.0,0.0,1,0.0,Not agree,Not agree,12/15/2020 14:39
Washington,WA,12/14/2020,0,203797,0.0,0.0,1734,0.0,2918,0.0,0.0,39,0.0,0,0,12/15/2020 14:39
Wisconsin,WI,12/14/2020,0,471285,438895.0,32390.0,2329,207.0,4352,4068.0,284.0,13,1.0,Agree,Agree,12/15/2020 14:39
West Virginia,WV,12/14/2020,0,64394,53741.0,10653.0,1177,262.0,978,0.0,0.0,10,4.0,Agree,Not agree,12/15/2020 14:39
Wyoming,WY,12/14/2020,0,39775,34560.0,5215.0,415,23.0,321,321.0,0.0,0,0.0,Agree,Agree,12/15/2020 14:39
Alaska,AK,12/15/2020,1,40438,0.0,0.0,278,0.0,178,0.0,0.0,3,0.0,0,0,12/16/2020 14:28
Alabama,AL,12/15/2020,1,301533,247003.0,54530.0,3638,1397.0,4124,3642.0,482.0,22,4.0,Agree,Agree,12/16/2020 14:28
Arkansas,AR,12/15/2020,1,189198,0.0,0.0,2141,905.0,3016,0.0,0.0,26,10.0,Not agree,Not agree,12/16/2020 14:28
American Samoa,AS,12/15/2020,1,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/16/2020 14:28
Arizona,AZ,12/15/2020,1,424382,408144.0,16238.0,4134,284.0,7422,6835.0,587.0,64,11.0,Agree,Agree,12/16/2020 14:28
California,CA,12/15/2020,1,1617370,0.0,0.0,32326,0.0,21188,0.0,0.0,142,0.0,Not agree,Not agree,12/16/2020 14:28
Colorado,CO,12/15/2020,1,293382,281346.0,12036.0,2278,210.0,4085,3505.0,580.0,116,9.0,Agree,Agree,12/16/2020 14:28
Connecticut,CT,12/15/2020,1,155462,146114.0,9348.0,1470,149.0,5466,4414.0,1052.0,22,5.0,Agree,Agree,12/16/2020 14:28
District of Columbia,DC,12/15/2020,1,25339,0.0,0.0,301,0.0,720,0.0,0.0,4,0.0,0,0,12/16/2020 14:28
Delaware,DE,12/15/2020,1,47929,46116.0,1813.0,1472,64.0,833,735.0,98.0,17,1.0,Agree,Agree,12/16/2020 14:28
Florida,FL,12/15/2020,1,1124742,0.0,0.0,9296,3107.0,20082,0.0,0.0,79,7.0,Not agree,Not agree,12/16/2020 14:28
Micronesia,FM,12/15/2020,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/16/2020 14:28
Georgia,GA,12/15/2020,1,553995,484152.0,69843.0,7437,2625.0,10160,9250.0,910.0,56,24.0,Agree,Agree,12/16/2020 14:28
Guam,GU,12/15/2020,1,7168,0.0,0.0,19,3.0,119,0.0,0.0,0,0.0,Not agree,Not agree,12/16/2020 14:28
Hawaii,HI,12/15/2020,1,19177,0.0,0.0,52,0.0,272,0.0,0.0,0,0.0,Not agree,Not agree,12/16/2020 14:28
Iowa,IA,12/15/2020,1,258599,0.0,0.0,1267,552.0,3340,0.0,0.0,67,67.0,Not agree,Not agree,12/16/2020 14:28
Idaho,ID,12/15/2020,1,124019,103740.0,20279.0,1802,402.0,1214,1088.0,126.0,20,7.0,Agree,Agree,12/16/2020 14:28
Illinois,IL,12/15/2020,1,863477,863477.0,0.0,7359,0.0,15587,14509.0,1078.0,132,17.0,Agree,Agree,12/16/2020 14:28
Indiana,IN,12/15/2020,1,434642,0.0,0.0,4241,0.0,6968,6657.0,311.0,128,1.0,Not agree,Agree,12/16/2020 14:28
Kansas,KS,12/15/2020,1,190018,162147.0,27871.0,0,0.0,2109,0.0,0.0,0,0.0,Agree,0,12/16/2020 14:28
Kentucky,KY,12/15/2020,1,227818,185901.0,41917.0,2928,1099.0,2239,2112.0,127.0,15,1.0,Agree,Agree,12/16/2020 14:28
Louisiana,LA,12/15/2020,1,272276,0.0,0.0,2633,466.0,6895,6577.0,318.0,50,8.0,Not agree,Agree,12/16/2020 14:28
Massachusetts,MA,12/15/2020,1,296762,286866.0,9896.0,3720,0.0,11398,11190.0,208.0,55,0.0,Agree,Agree,12/16/2020 14:28
Maryland,MD,12/15/2020,1,241767,0.0,0.0,2405,0.0,5270,5103.0,167.0,64,0.0,0,Agree,12/16/2020 14:28
Maine,ME,12/15/2020,1,17295,15126.0,2169.0,551,98.0,267,263.0,4.0,2,0.0,Agree,Agree,12/16/2020 14:28
Michigan,MI,12/15/2020,1,478171,442715.0,35456.0,5391,661.0,11495,10935.0,560.0,206,23.0,Agree,Agree,12/16/2020 14:28
Minnesota,MN,12/15/2020,1,384164,0.0,0.0,2323,173.0,4542,4369.0,173.0,21,2.0,0,Agree,12/16/2020 14:28
Missouri,MO,12/15/2020,1,383440,0.0,0.0,3701,934.0,4754,0.0,0.0,240,0.0,Not agree,Not agree,12/16/2020 9:28
Northern Mariana Islands,MP,12/15/2020,1,113,113.0,0.0,0,0.0,2,2.0,0.0,0,0.0,Agree,Agree,12/16/2020 14:28
Mississippi,MS,12/15/2020,1,185643,136002.0,49641.0,2343,1446.0,4294,3581.0,713.0,42,16.0,Agree,Agree,12/16/2020 14:28
Montana,MT,12/15/2020,1,74040,74040.0,0.0,737,0.0,826,826.0,0.0,8,0.0,Agree,Agree,12/16/2020 14:28
North Carolina,NC,12/15/2020,1,446601,415080.0,31521.0,5236,626.0,5881,5639.0,242.0,26,2.0,Agree,Agree,12/16/2020 14:28
North Dakota,ND,12/15/2020,1,88395,86232.0,2163.0,2,0.0,1170,0.0,0.0,0,0.0,Agree,Not agree,12/16/2020 14:28
Nebraska,NE,12/15/2020,1,150861,0.0,0.0,1517,0.0,1438,0.0,0.0,20,0.0,Not agree,Not agree,12/16/2020 14:28
New Hampshire,NH,12/15/2020,1,32545,0.0,0.0,670,0.0,604,0.0,0.0,0,0.0,Not agree,Not agree,12/16/2020 14:28
New Jersey,NJ,12/15/2020,1,450212,0.0,0.0,4607,641.0,17872,16004.0,1868.0,97,0.0,Not agree,Agree,12/15/2020 0:00
New Mexico,NM,12/15/2020,1,122557,0.0,0.0,1258,0.0,2006,0.0,0.0,28,0.0,0,Not agree,12/16/2020 14:28
Nevada,NV,12/15/2020,1,191732,0.0,0.0,2320,0.0,2596,0.0,0.0,48,0.0,0,0,12/16/2020 14:28
New York,NY,12/15/2020,1,432330,0.0,0.0,6207,0.0,11004,0.0,0.0,103,0.0,Not agree,Not agree,12/16/2020 14:28
New York City,NY,12/15/2020,1,371489,335091.0,36398.0,3302,447.0,24578,19844.0,4734.0,17,-29.0,Agree,Agree,12/16/2020 14:28
Ohio,OH,12/15/2020,1,579357,529508.0,49849.0,8755,1714.0,7654,7054.0,600.0,103,21.0,Agree,Agree,12/16/2020 14:28
Oklahoma,OK,12/15/2020,1,267528,223659.0,43869.0,4440,1067.0,3629,3315.0,314.0,41,8.0,Agree,Agree,12/16/2020 0:00
Oregon,OR,12/15/2020,1,96092,94372.0,1720.0,1082,0.0,1213,1198.0,15.0,52,0.0,Agree,Agree,12/16/2020 14:28
Pennsylvania,PA,12/15/2020,1,509320,465134.0,44186.0,9556,2571.0,12890,0.0,0.0,270,165.0,Agree,Not agree,12/16/2020 14:28
Puerto Rico,PR,12/15/2020,1,63686,60792.0,2894.0,267,143.0,1312,1077.0,235.0,18,-11.0,Agree,Agree,12/16/2020 14:28
Palau,PW,12/15/2020,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/16/2020 14:28
Rhode Island,RI,12/15/2020,1,76389,0.0,0.0,1043,0.0,1684,0.0,0.0,16,0.0,Not agree,0,12/16/2020 14:28
Marshall Islands,MH,12/15/2020,1,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/16/2020 14:28
South Carolina,SC,12/15/2020,1,264226,242476.0,21750.0,3195,666.0,4953,0.0,0.0,35,5.0,Agree,Not agree,4/14/2021 13:28
South Dakota,SD,12/15/2020,1,91699,0.0,0.0,345,41.0,1261,1030.0,231.0,2,2.0,0,Agree,12/16/2020 14:28
Tennessee,TN,12/15/2020,1,472875,428868.0,44007.0,8251,911.0,5615,5022.0,593.0,74,16.0,Agree,Agree,12/16/2020 14:28
Texas,TX,12/15/2020,1,1500538,0.0,0.0,18397,3004.0,27323,0.0,0.0,219,0.0,Not agree,Not agree,12/16/2020 0:00
Utah,UT,12/15/2020,1,237787,237787.0,0.0,1915,0.0,1077,1059.0,18.0,15,0.0,Agree,Agree,12/16/2020 14:28
Virginia,VA,12/15/2020,1,292240,251894.0,40346.0,3931,1077.0,4508,4090.0,418.0,38,6.0,Agree,Agree,12/16/2020 14:28
Virgin Islands,VI,12/15/2020,1,1850,0.0,0.0,22,0.0,23,0.0,0.0,0,0.0,0,0,12/16/2020 14:28
Vermont,VT,12/15/2020,1,5923,0.0,0.0,66,0.0,100,0.0,0.0,4,0.0,Not agree,Not agree,12/16/2020 14:28
Washington,WA,12/15/2020,1,205069,0.0,0.0,1272,0.0,2953,0.0,0.0,35,0.0,0,0,12/16/2020 14:28
Wisconsin,WI,12/15/2020,1,475340,442396.0,32944.0,4055,554.0,4408,4122.0,286.0,56,2.0,Agree,Agree,12/16/2020 14:28
West Virginia,WV,12/15/2020,1,65708,54695.0,11013.0,1314,360.0,1012,0.0,0.0,34,8.0,Agree,Not agree,12/16/2020 14:28
Wyoming,WY,12/15/2020,1,40064,34712.0,5352.0,289,137.0,328,328.0,0.0,7,0.0,Agree,Agree,12/16/2020 14:28
Alaska,AK,12/16/2020,2,41041,0.0,0.0,603,0.0,180,0.0,0.0,2,0.0,0,0,12/17/2020 14:33
Alabama,AL,12/16/2020,2,305640,249849.0,55791.0,4107,1261.0,4198,3704.0,494.0,74,12.0,Agree,Agree,12/17/2020 14:33
Arkansas,AR,12/16/2020,2,191504,0.0,0.0,2306,668.0,3074,0.0,0.0,58,5.0,Not agree,Not agree,12/17/2020 14:33
American Samoa,AS,12/16/2020,2,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/17/2020 14:33
Arizona,AZ,12/16/2020,2,429219,412450.0,16769.0,4837,531.0,7530,6919.0,611.0,108,24.0,Agree,Agree,12/17/2020 14:33
California,CA,12/16/2020,2,1671081,0.0,0.0,53711,0.0,21481,0.0,0.0,293,0.0,Not agree,Not agree,12/17/2020 14:33
Colorado,CO,12/16/2020,2,296716,284537.0,12179.0,3334,143.0,4156,3570.0,586.0,71,6.0,Agree,Agree,12/17/2020 14:33
Connecticut,CT,12/16/2020,2,157781,148383.0,9398.0,2319,50.0,5506,4449.0,1057.0,40,5.0,Agree,Agree,12/17/2020 14:33
District of Columbia,DC,12/16/2020,2,25602,0.0,0.0,263,0.0,720,0.0,0.0,0,0.0,0,0,12/17/2020 14:33
Delaware,DE,12/16/2020,2,47929,46116.0,1813.0,0,0.0,833,735.0,98.0,0,0.0,Agree,Agree,12/17/2020 14:33
Florida,FL,12/16/2020,2,1136024,0.0,0.0,11282,4196.0,20204,0.0,0.0,122,9.0,Not agree,Not agree,12/17/2020 14:33
Micronesia,FM,12/16/2020,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/17/2020 14:33
Georgia,GA,12/16/2020,2,560619,488338.0,72281.0,6624,2438.0,10228,9302.0,926.0,68,16.0,Agree,Agree,12/17/2020 14:33
Guam,GU,12/16/2020,2,7183,0.0,0.0,15,2.0,119,0.0,0.0,0,0.0,Not agree,Not agree,12/17/2020 14:33
Hawaii,HI,12/16/2020,2,19281,0.0,0.0,104,0.0,276,0.0,0.0,4,0.0,Not agree,Not agree,12/17/2020 14:33
Iowa,IA,12/16/2020,2,260779,0.0,0.0,2180,650.0,3354,0.0,0.0,14,14.0,Not agree,Not agree,12/17/2020 14:33
Idaho,ID,12/16/2020,2,125452,104753.0,20699.0,1433,420.0,1231,1104.0,127.0,17,1.0,Agree,Agree,12/17/2020 14:33
Illinois,IL,12/16/2020,2,870600,870600.0,0.0,7123,0.0,15777,14655.0,1122.0,190,44.0,Agree,Agree,12/17/2020 14:33
Indiana,IN,12/16/2020,2,440850,0.0,0.0,6208,0.0,7101,6781.0,320.0,133,9.0,Not agree,Agree,12/17/2020 14:33
Kansas,KS,12/16/2020,2,194569,165532.0,29037.0,4551,1166.0,2253,0.0,0.0,144,34.0,Agree,0,12/17/2020 14:33
Kentucky,KY,12/16/2020,2,230693,187697.0,42996.0,2875,1079.0,2262,2133.0,129.0,23,2.0,Agree,Agree,12/17/2020 14:33
Louisiana,LA,12/16/2020,2,275545,0.0,0.0,3269,1239.0,6933,6607.0,326.0,38,8.0,Not agree,Agree,12/17/2020 14:33
Massachusetts,MA,12/16/2020,2,302212,292316.0,9896.0,5450,0.0,11469,11261.0,208.0,71,0.0,Agree,Agree,12/17/2020 14:33
Maryland,MD,12/16/2020,2,243984,0.0,0.0,2217,0.0,5319,5152.0,167.0,49,0.0,0,Agree,12/17/2020 14:33
Maine,ME,12/16/2020,2,17904,15578.0,2326.0,609,157.0,277,273.0,4.0,10,0.0,Agree,Agree,12/17/2020 14:33
Michigan,MI,12/16/2020,2,482815,446752.0,36063.0,4644,607.0,11588,11018.0,570.0,93,10.0,Agree,Agree,12/17/2020 14:33
Minnesota,MN,12/16/2020,2,386412,0.0,0.0,2248,238.0,4634,4455.0,179.0,92,6.0,0,Agree,12/17/2020 14:33
Missouri,MO,12/16/2020,2,388284,0.0,0.0,4844,1100.0,4799,0.0,0.0,45,0.0,Not agree,Not agree,12/17/2020 9:33
Northern Mariana Islands,MP,12/16/2020,2,113,113.0,0.0,0,0.0,2,2.0,0.0,0,0.0,Agree,Agree,12/17/2020 14:33
Mississippi,MS,12/16/2020,2,187904,136835.0,51069.0,2261,1428.0,4320,3594.0,726.0,26,13.0,Agree,Agree,12/17/2020 14:33
Montana,MT,12/16/2020,2,74644,74644.0,0.0,604,0.0,836,836.0,0.0,10,0.0,Agree,Agree,12/17/2020 14:33
North Carolina,NC,12/16/2020,2,451874,419231.0,32643.0,5273,1122.0,5979,5714.0,265.0,98,23.0,Agree,Agree,12/17/2020 14:33
North Dakota,ND,12/16/2020,2,89063,86787.0,2276.0,668,113.0,1204,0.0,0.0,34,0.0,Agree,Not agree,12/17/2020 14:33
Nebraska,NE,12/16/2020,2,152103,0.0,0.0,1242,0.0,1448,0.0,0.0,10,0.0,Not agree,Not agree,12/17/2020 14:33
New Hampshire,NH,12/16/2020,2,33433,0.0,0.0,888,378.0,625,0.0,0.0,21,7.0,Not agree,Not agree,12/17/2020 14:33
New Jersey,NJ,12/16/2020,2,456529,0.0,0.0,6317,656.0,18003,16095.0,1908.0,131,40.0,Not agree,Agree,12/16/2020 0:00
New Mexico,NM,12/16/2020,2,124357,0.0,0.0,1800,0.0,2049,0.0,0.0,43,0.0,0,Not agree,12/17/2020 14:33
Nevada,NV,12/16/2020,2,194098,0.0,0.0,2366,0.0,2653,0.0,0.0,57,0.0,0,0,12/17/2020 14:33
New York,NY,12/16/2020,2,438797,0.0,0.0,6467,0.0,11085,0.0,0.0,81,0.0,Not agree,Not agree,12/17/2020 14:33
New York City,NY,12/16/2020,2,374547,337477.0,37070.0,3058,672.0,24613,19869.0,4744.0,35,10.0,Agree,Agree,12/17/2020 14:33
Ohio,OH,12/16/2020,2,584766,533299.0,51467.0,5409,1618.0,7777,7141.0,636.0,123,36.0,Agree,Agree,12/17/2020 14:33
Oklahoma,OK,12/16/2020,2,271281,226486.0,44795.0,3753,926.0,3674,3353.0,321.0,45,7.0,Agree,Agree,12/17/2020 0:00
Oregon,OR,12/16/2020,2,97622,95902.0,1720.0,1530,0.0,1262,1247.0,15.0,49,0.0,Agree,Agree,12/17/2020 14:33
Pennsylvania,PA,12/16/2020,2,519369,473194.0,46175.0,10049,1989.0,13168,0.0,0.0,278,205.0,Agree,Not agree,12/17/2020 14:33
Puerto Rico,PR,12/16/2020,2,64751,61783.0,2968.0,1065,74.0,1323,1086.0,237.0,11,2.0,Agree,Agree,12/17/2020 14:33
Palau,PW,12/16/2020,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/17/2020 14:33
Rhode Island,RI,12/16/2020,2,77529,0.0,0.0,1140,0.0,1703,0.0,0.0,19,0.0,Not agree,0,12/17/2020 14:33
Marshall Islands,MH,12/16/2020,2,4,4.0,0.0,0,0.0,0,0.0,0.0,0,0.0,Agree,Agree,12/17/2020 14:33
South Carolina,SC,12/16/2020,2,267180,244626.0,22554.0,2954,804.0,4997,0.0,0.0,44,2.0,Agree,Not agree,4/14/2021 13:28
South Dakota,SD,12/16/2020,2,92603,0.0,0.0,904,227.0,1300,1062.0,238.0,39,7.0,0,Agree,12/17/2020 14:33
Tennessee,TN,12/16/2020,2,484285,437798.0,46487.0,11410,2480.0,5668,5059.0,609.0,53,16.0,Agree,Agree,12/17/2020 14:33
Texas,TX,12/16/2020,2,1519340,0.0,0.0,18802,3326.0,27537,0.0,0.0,214,0.0,Not agree,Not agree,12/17/2020 0:00
Utah,UT,12/16/2020,2,240715,240715.0,0.0,2928,0.0,1096,1076.0,20.0,19,2.0,Agree,Agree,12/17/2020 14:33
Virginia,VA,12/16/2020,2,296093,254722.0,41371.0,3853,1025.0,4553,4126.0,427.0,45,9.0,Agree,Agree,12/17/2020 14:33
Virgin Islands,VI,12/16/2020,2,1878,0.0,0.0,28,0.0,23,0.0,0.0,0,0.0,0,0,12/17/2020 14:33
Vermont,VT,12/16/2020,2,6009,0.0,0.0,86,4.0,105,0.0,0.0,5,0.0,Not agree,Not agree,12/17/2020 14:33
Washington,WA,12/16/2020,2,214265,0.0,0.0,9196,7671.0,3042,0.0,0.0,89,0.0,0,0,12/17/2020 14:33
Wisconsin,WI,12/16/2020,2,478162,444798.0,33364.0,2822,420.0,4493,4196.0,297.0,85,11.0,Agree,Agree,12/17/2020 14:33
West Virginia,WV,12/16/2020,2,66849,55536.0,11313.0,1141,300.0,1039,0.0,0.0,27,5.0,Agree,Not agree,12/17/2020 14:33
Wyoming,WY,12/16/2020,2,40310,34883.0,5427.0,246,75.0,328,328.0,0.0,0,0.0,Agree,Agree,12/17/2020 14:33
Alaska,AK,12/17/2020,3,41418,0.0,0.0,377,0.0,182,0.0,0.0,2,0.0,0,0,12/18/2020 14:45
Alabama,AL,12/17/2020,3,310335,253364.0,56971.0,4695,1180.0,4254,3745.0,509.0,56,15.0,Agree,Agree,12/18/2020 14:45
Arkansas,AR,12/17/2020,3,194543,0.0,0.0,3039,757.0,3112,0.0,0.0,38,8.0,Not agree,Not agree,12/18/2020 14:45
American Samoa,AS,12/17/2020,3,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,12/18/2020 14:45
Arizona,AZ,12/17/2020,3,435036,417490.0,17546.0,5817,777.0,7677,7040.0,637.0,147,26.0,Agree,Agree,12/18/2020 14:45
California,CA,12/17/2020,3,1723362,0.0,0.0,52281,0.0,21860,0.0,0.0,379,0.0,Not agree,Not agree,12/18/2020 14:45
Colorado,CO,12/17/2020,3,300414,288105.0,12309.0,3698,130.0,4226,3633.0,593.0,70,7.0,Agree,Agree,12/18/2020 14:45
Connecticut,CT,12/17/2020,3,160102,150549.0,9553.0,2321,155.0,5552,4489.0,1063.0,46,6.0,Agree,Agree,12/18/2020 14:45
District of Columbia,DC,12/17/2020,3,25830,0.0,0.0,228,0.0,725,0.0,0.0,5,0.0,0,0,12/18/2020 14:45
Delaware,DE,12/17/2020,3,48768,46897.0,1871.0,839,58.0,845,745.0,100.0,12,2.0,Agree,Agree,12/18/2020 14:45
Florida,FL,12/17/2020,3,1149126,0.0,0.0,13102,3497.0,20305,0.0,0.0,101,4.0,Not agree,Not agree,12/18/2020 14:45
